Dusun,English,Type,Malay,Category,Variants
"ih panjaga gol koimbagu pinapasalamat diyolo","the goalkeeper saved them again",sentence,"penjaga gol itu menyelamatkan mereka sekali lagi",declarative,
"ih piguli-gulian momorisa nopo kadapat popokurang doh karaagan doh talun-alun","regular inspections can reduce road damage",sentence,"pemeriksaan berkala boleh mengurangkan kerosakan jalan",declarative,
"ih posukan mamadagang pinapalapur dot oburat kosunion","the sales team reported steady growth",sentence,"pasukan jualan melaporkan pertumbuhan yang stabil",declarative,
"ih solimpuunon ih","in the beginning ",phrase,"pada mulanya",,
"ih sumandak dih koupusan","beloved girl",sentence,"gadis yang dicintai",declarative,
"ih tadau kumolimo, sumonong-sonong oku noh","on the fifth day, I gradually recovered",sentence,"pada hari ke lima, saya beransur pulih",declarative,
"ih tali kasut dih oluau kadapat poposuang do ribut hiri'd kasut","loose laces allow air flow into the shoes",sentence,"tali kasut yang longgar membenarkan aliran udara ke dalam kasut",declarative,
"ih talun-alun amu osonong nopo nga popoinsawat dih risiko iksidin","bad roads increase the risk of accidents",sentence,"jalan yang teruk meningkatkan risiko kemalangan",declarative,
"ih talun-alun dih naraag nopo nga  papalambat pongindalanan om bahaya","bad roads make travel slow and dangerous",sentence,"jalan yang teruk menjadikan perjalanan perlahan dan berbahaya",declarative,
"ih tama minongundar dih rodiu ku","dad repaired my radio",sentence,"ayah yang baiki radio saya",declarative,
"ih tongo raja momorinta doh tanah di pogulu ii","kings ruled lands long ago",sentence,"raja memerintah tanah pada masa lalu",declarative,
"ih tulanut ii minangakan dih bonong","it was the snake that ate the frog",sentence,"ular itu yang makan katak",declarative,
"ih tulun mongundi",voters,noun,pengundi,"people & roles",
"ih tungau dih kolisihan ku","the cat I love",sentence,"kucing yang saya sayangi",declarative,
"ih undang-undang togirot kadapat monguhup mongurang kopomogunaan doh dadah","strong laws help reduce drug use",sentence,"undang-undang yang tegas membantu mengurangkan penggunaan dadah",declarative,
ihad,cry,"verb ","menangis, nangis",root,
ihas,disassemble,"verb ",bongkar,root,
ihas,dismantle,"verb ",bongkar,root,
ihib,pour,"verb ",tuang,root,
ihibai,pour,verb,tuangkan,imperative,
"ihibai oku tokuri doh miak. noowian doh miak ti sumbu ku","pour me some oil. my lamp is out of oil",sentence,"tuangkan saya sikit minyak. lampu saya kehabisan minyak",declarative,
ihumo,"find it","verb ",cari,imperative,
"ihumo doho ih tungau ku","help me find my cat",sentence,"tolong carikan kucing saya",imperative,
"ihumo poh Kinorohingan doh gulu","seek God first",sentence,"cari Tuhan dahulu",imperative,
ihumon,"will be searched for",verb,"akan dicari",,
ija,spell,"verb ",eja,root,
ijaan,spelling,noun,ejaan,"ideas & emotions",
ijos,adjust,"verb ",menyesuaikan,root,
"ikan mira","red snapper",noun,"ikan merah",animals,
ikar,acre,noun,ekar,"time, events & quantities",
ikid,distribute,"verb ",edar,root,
"iklan sosial media","social media ads",sentence,"iklan media sosial",declarative,
ikon,"air conditioner",noun,"penghawa dingin","objects & tools",
iksasais,exercise,noun,senaman,"ideas & emotions",
"iksasais kadapat mongubah dih kosihatan nu","exercise can transform your health",sentence,"senaman boleh mengubah kesihatan kamu",declarative,
"iksasais yahai dungkosuabon daripada dungotuong","we exercise in the morning rather than at night",sentence,"kami bersenam pada waktu pagi daripada waktu malam",declarative,
iksidin,accident,noun,kemalangan,"ideas & emotions",
ikum,"act shy","verb ",malu-malu,root,
ila,"yard (unit)",noun,ela,"time, events & quantities",
"ilaan lobi kogumu pasal Dusun","learn more about Dusun",sentence,"ketahui lebih lanjut mengenai Dusun",declarative,
ilag,avoid,"verb ",elak,root,
ilago,"avoid it","verb ",elakkan,imperative,
ilagon,"to be avoided",adjective,"untuk dihindari",general,
"ilagon momodoribal dungotuong","avoid driving at night",sentence,"elakkan memandu pada waktu malam",declarative,
ilang,"eat with","verb ","makan bersama",root,
ilo,that,determiner,itu,,"lo, lot"
"ilo agangau kaagal-agal mantad doh tinggin. songira papalaju oku, lumogod ilo tuni","the noise seems to be from the engine area. When I accelerate, the noise gets louder",sentence,"bunyi macam dari bahagian enjin. Bila saya tekan minyak, bunyinya makin kuat",declarative,
"ilo nopo bangunan nga jinangka lobi 100 toun","the building is believed to be over 100 years old",sentence,"bangunan itu dipercayai berusia lebih 100 tahun",declarative,
"ilo nopo bilik nga minangan hiaso doh obulou","the room was decorated in blue",sentence,"bilik itu dihias dengan warna biru",declarative,
"ilo nopo duo bangunan nga binagi dih baang","the two buildings are separated by a river",sentence,"kedua-dua bangunan itu terpisah oleh sebatang sungai",declarative,
"ilo nopo kik nga linopisan doh topurak","the cake was covered in white",sentence,"kek itu disalut warna putih",declarative,
"ilo nopo kurita nga sinaat doh oitom","the car was painted in black",sentence,"kereta itu dicat hitam",declarative,
"ilo nopo kusai kirasuk toitom nga sigu ku","the man in black is my teacher",sentence,"lelaki berbaju hitam itu ialah guru saya",declarative,
"ilo nopo kusai taragang bansu nga tama ku","that man in the red shirt is my dad",sentence,"lelaki yang berbaju merah itu adalah bapa saya",declarative,
"ilo nopo tanak doh tombolog nga monosop mantad dih tinduk doh molohing dau","the young bird is sucking food directly from its parent’s beak",sentence,"anak burung itu menghisap makanan terus dari paruh induknya",declarative,
"ilo nopo tanak kirasuk obulou nga tanak dih taka ku","the child in blue is my nephew",sentence,"kanak-kanak berbaju biru itu ialah anak saudara saya",declarative,
"ilo nopo tungau di guulu ii nga amu asanangan dih tikus, nga mikawan noh yolo dii nondo","the cat used to dislike the mouse, but now they are friends",sentence,"kucing itu dahulu tidak menyukai tikus tersebut, tetapi sekarang mereka sudah berkawan",declarative,
"ilo tangaanak mogirampam tumur mamain miampai diyolo","those children of the same age play together",sentence,"kanak-kanak sebaya itu bermain bersama",declarative,
ilob,vomit,"verb ",muntah,root,
ilobo,"vomit out",verb,muntahkan,,
"ilobo ino suang doh kabang  nu. sosomu ino biskut","spit out what’s in your mouth. that biscuit is dirty",sentence,"muntahkan yang dalam mulut kamu itu. biskut itu kotor",declarative,
"ilogupai ih tanak nu doh gulu","wash your child's face first",sentence,"cuci muka anak kamu terlebih dahulu",declarative,
"ilogupai tanak nu","wash your child's face",sentence,"basuh muka anak kamu",imperative,
iman,faith,noun,iman,"people & roles",
iman-imanon,ambition,noun,cita-cita,"ideas & emotions",
imanon,hope,noun,harapan,,
imat,cautious,adjective,berhati-hati,personal,
imbulai,appear,verb,muncul,,
imot,see,"verb ",lihat,root,
impiro,"how many times",adverb,"berapa kali",,
"impiro ko noh kagagal dih porisaan?","how many times have you failed that exam?",sentence,"berapa kali sudah kamu gagal dalam peperiksaan itu?",interrogative,
"impiro ko noh nokoongoi hilo'd KL? ","how many times have you gone to KL?",sentence,"berapa kali sudah kau pergi KL?",interrogative,
"impiro ko noh nokoruba dih Mary tulan baino?","how many times have you seen Mary this month?",sentence,"berapa kali sudah kamu jumpa Mary bulan ini?",interrogative,
"impiro ko noh olos tusin ku","how many times have you borrowed my money?",sentence,"berapa kali sudah kamu pinjam duit saya?",interrogative,
"impiro ko sumuti doh sombulan?","how many times do you take leave in a month?",sentence,"berapa kali kamu bercuti sebulan?",interrogative,
"impiro oku manangkus interval saralom sominggu?","how many times should I do interval running in a week?",sentence,"berapa kali saya perlu melakukan larian interval masa dalam seminggu?",interrogative,
impit,squeeze,"verb ",himpit,root,
"impit-impit poh, otirung oku diya","move to the side a little, you're blocking my view",sentence,"alih ke tepi sedikit, kamu halang pemandangan saya",interrogative,
imuhau,"sweep (floor)",verb,sapu,,
imumug,gargle,"verb ",berkumur,root,
ina,mom,noun,ibu,"people & roles",
"ina, obuli ku putuson ih tunang ku? gungkaul gia ih sumandak dih","mom, can i break off my engagement? that girl is lazy",sentence,"mama, boleh saya putuskan tunang saya? gadis itu pemalas",declarative,
"ina, potonudo oku mongoi kabun","mom, let me go with you to the orchard",sentence,"ibu, benarkan saya ikut kamu ke kebun",declarative,
inan,auntie,noun,makcik,"people & roles",
inan,aunty,noun,makcik,"people & roles",
"inan, haro ongoruol opurimanan nu nondo?","auntie, are you feeling any pain right now?",sentence,"makcik, adakah anda rasa sakit sekarang?",interrogative,
indakod,ascend,verb,naik,,"takad, salakai"
indakod,"climb up",verb,panjat,,"takad, salakai"
indisan,"stay to the side",verb,"ke tepi",,
induo,twice,number,"dua kali",,
"induo noh yahai napanakahan","we have had two thefts",sentence,"kami sudah mengalami dua kecurian",declarative,
"induo noh yau nokouab tokito ku","I saw her yawning twice already",sentence,"saya ternampak dia menguap dua kali sudah",declarative,
"induo nohopod","twenty times",number,"dua puluh kali",,
"induo nohopod oku katangkap doh pulis","I have been arrested by the police twenty times",sentence,"saya telah ditangkap polis sebanyak dua puluh kali",declarative,
"induo nohopod om duo","twenty-two times",number,"dua puluh dua kali",,
"induo nohopod om iso","twenty-one times",number,"dua puluh satu kali",,
"induo oku pia daa minuhot","I even tried asking twice",sentence,"saya malah cuba bertanya dua kali",declarative,
"induo oku tuminaii hilo'd sikul baino","I pooped twice at school today",sentence,"saya berak dua kali di sekolah hari ini",declarative,
"induo pinolti om amu gool","two penalties but no goals",sentence,"dua kali penalti tapi tidak gol",declarative,
"induo sontoun oku rumuba doh dokutur","I see the doctor twice a year",sentence,"saya berjumpa dengan doktor dua kali setahun",declarative,
ingapat,"four times",number,"empat kali",,
"ingapat noh ih John nakajadi juara","John has been a champion four times",sentence,"sudah empat kali John menjadi juara",declarative,
"ingapat nohopod","forty times",number,"empat puluh kali",,
"ingapat nohopod om iso","forty-one times",number,"empat puluh satu kali",,
"ingapat sangadau","four times a day",phrase,"empat kali sehari",,
ingato,remember,"verb ",ingatlah,imperative,
"ingato noh","please remember",phrase,ingatlah,,
"ingato noh Kinorohingan kaakal poh kikuasa mulong pia id suang asio kepastian","remember that God is still in control, even in uncertainty",sentence,"ingat, Tuhan tetap berkuasa walaupun dalam ketidakpastian",declarative,
"ingaton noh","please remember",phrase,ingatlah,,
"ingaton noh yahai doh hiti","remember us here",sentence,"ingatlah kami di sini",declarative,
inggogo,"shake it",verb,goncangkan,,
inghopod,"ten times",number,"sepuluh kali",,
"inghopod oku noh koongoi hilo'd Gipun","I have been to Japan ten times",sentence,"saya sudah ke Jepun sebanyak sepuluh kali",declarative,
Ingilis,English,noun,"Bahasa Inggeris","ideas & emotions",
ingkaa,"like that",adverb,"begini caranya",,
"ingkaa noh","that's right",phrase,"begitulah itu",,
ingkaaii,"almost finished",adjective,"hampir habis",general,ingkaawi
"ingkaaii noh botiri tolipaun ku","my phone battery is dying",sentence,"bateri telefon saya hampir habis",declarative,
"ingkaaii noh masa","time is running out",sentence,"masa semakin suntuk",declarative,
"ingkaaii noh waig dati","our water is almost gone",sentence,"air kita hampir habis",declarative,
ingkaakan,"almost finished eating",verb,"hampir siap makan",,
ingkahaba,"almost fell down",verb,"hampir tumbang",,
ingkahadan,"almost fainted",verb,"hampir pengsan",,
"ingkahadan noh ih John minagawi dih 10k","John almost fainted finishing the 10k",sentence,"John hampir pengsan menghabiskan 10k itu",declarative,
"ingkahadan oku noh nokotigog nokokito doh tulanut","I almost fainted in shock when I saw a snake",sentence,"saya hampir pengsan terkejut apabila ternampak seekor ular",declarative,
ingkakat,"stand up",verb,berdiri,,ungkakat
ingkakat,"stand up","verb ",berdiri,imperative,
ingkapatai,"almost died",verb,"hampir mati",,
"ingkapatai noh","about to die",phrase,"mau mati sudah",,
"ingkapatai noh Proton Saga ku ruminikot do hiti","my Proton Saga almost died on the way here",sentence,"Proton Saga saya hampir mati semasa menuju ke sini",declarative,
ingkaratu,"about to fall down",verb,"hampir jatuh",,
ingkaratu,"almost fall down",verb,"hampir jatuh",,
"ingkaratu noh daa ih balatak dau nga nosombitan ih dih ama","the basket almost fell, but dad caught it",sentence,"bakul itu hampir jatuh tapi sempat disambut oleh ayah",declarative,
ingkatakad,"almost reaching the top",verb,"hampir sampai di atas",,
ingkatamat,"almost finished ",verb,"hampir tamat",,ingkaawi
"ingkatamat noh yau","she is almost finished ",sentence,"dia hampir tamat",declarative,
ingkoboli,"almost have bought",verb,"hampir terbeli",,
"ingkoboli ku noh daa ih kurita. Nasip poh aiso tusin ku","I almost bought the car. Luckily I didn't have any money.",sentence,"saya hampir membeli kereta itu. Nasib baik saya tiada duit",declarative,
"ingkoihad noh","about to cry",phrase,"mau nangis sudah",,
ingkoipos,"almost wet",verb,"hampir basah",,
ingkolingos,"almost healed",verb,"hampir sembuh",,
"ingkolingos noh daa ih gandas ku nga najangkitan doh kuman koimbagu","my wound is almost healed, but it has been reinfected by germs",sentence,"luka saya hampir sembuh tetapi ia telah dijangkiti balik oleh kuman",declarative,
